Feature,Type
Product_Price,Numerical
Order_Quantity,Numerical
Discount_Applied,Numerical
Total_Order_Value,Numerical
Discount_Percentage,Numerical
Price_Per_Item,Numerical
Discount_Per_Item,Numerical
Value_To_Discount_Ratio,Numerical
User_Age,Numerical
Order_Month,Temporal
Order_Day,Temporal
Order_DayOfWeek,Temporal
Order_Quarter,Temporal
Order_IsWeekend,Binary_Flag
Days_Since_Start,Numerical
High_Discount_Flag,Binary_Flag
High_Value_Flag,Binary_Flag
High_Quantity_Flag,Binary_Flag
Young_User_Flag,Binary_Flag
Senior_User_Flag,Binary_Flag
Premium_Product_Flag,Binary_Flag
Low_Price_Flag,Binary_Flag
Product_Category_Encoded,Categorical_Encoded
User_Gender_Encoded,Categorical_Encoded
User_Location_Encoded,Categorical_Encoded
Payment_Method_Encoded,Categorical_Encoded
Shipping_Method_Encoded,Categorical_Encoded
Price_Range_Encoded,Categorical_Encoded
Quantity_Category_Encoded,Categorical_Encoded
Age_Group_Encoded,Categorical_Encoded
